GENERAL|1|3000|DEFAULT
GENERAL|2|1500|DEFAULT
GENERAL|3|1200|DEFAULT
GENERAL|4|1000|DEFAULT
GENERAL|5|800|DEFAULT
GENERAL|6|700|DEFAULT
GENERAL|7|600|DEFAULT
GENERAL|8|500|DEFAULT
GENERAL|9|400|DEFAULT
GENERAL|10|300|DEFAULT
GENERAL|11|250|DEFAULT
GENERAL|12|200|DEFAULT
GENERAL|13|150|DEFAULT
GENERAL|14|150|DEFAULT
GENERAL|15|150|DEFAULT
GENERAL|16|100|DEFAULT
GENERAL|17|100|DEFAULT
GENERAL|18|100|DEFAULT
GENERAL|19|100|DEFAULT
GENERAL|20|100|DEFAULT
GENERAL|21|80|DEFAULT
GENERAL|22|80|DEFAULT
GENERAL|23|80|DEFAULT
GENERAL|24|80|DEFAULT
GENERAL|25|80|DEFAULT
C.VALENCIANA|1|500|DEFAULT
C.VALENCIANA|2|400|DEFAULT
C.VALENCIANA|3|300|DEFAULT
C.VALENCIANA|4|250|DEFAULT
C.VALENCIANA|5|200|DEFAULT
C.VALENCIANA|6|150|DEFAULT
C.VALENCIANA|7|100|DEFAULT
C.VALENCIANA|8|80|DEFAULT
SUB1800|1|225|DEFAULT
SUB1800|2|150|DEFAULT
SUB1800|3|120|DEFAULT
SUB1800|4|100|DEFAULT
SUB1800|5|80|DEFAULT
SUB1600|1|225|DEFAULT
SUB1600|2|150|DEFAULT
SUB1600|3|120|DEFAULT
SUB1600|4|100|DEFAULT
SUB1600|5|80|DEFAULT
SUB1400|1|225|DEFAULT
SUB1400|2|150|DEFAULT
SUB1400|3|120|DEFAULT
SUB1400|4|100|DEFAULT
SUB1400|5|80|DEFAULT
HOSPEDAJE|1|150|DEFAULT
HOSPEDAJE|2|150|DEFAULT
HOSPEDAJE|3|150|DEFAULT
HOSPEDAJE|4|150|DEFAULT
HOSPEDAJE|5|150|DEFAULT
HOSPEDAJE|6|150|DEFAULT
HOSPEDAJE|7|150|DEFAULT
HOSPEDAJE|8|150|DEFAULT
HOSPEDAJE|9|150|DEFAULT
HOSPEDAJE|10|150|DEFAULT
HOSPEDAJE|11|150|DEFAULT
HOSPEDAJE|12|150|DEFAULT
HOSPEDAJE|13|150|DEFAULT
HOSPEDAJE|14|150|DEFAULT
HOSPEDAJE|15|150|DEFAULT
HOSPEDAJE|16|150|DEFAULT
HOSPEDAJE|17|150|DEFAULT
HOSPEDAJE|18|150|DEFAULT
HOSPEDAJE|19|150|DEFAULT
HOSPEDAJE|20|150|DEFAULT
HOSPEDAJE|21|150|DEFAULT
HOSPEDAJE|22|150|DEFAULT
HOSPEDAJE|23|150|DEFAULT
HOSPEDAJE|24|150|DEFAULT
HOSPEDAJE|25|150|DEFAULT
